Standort Name;Adresse
         Henkel Vietnam Co. Ltd.;   Suite 1001, 10th Floor, Centre Point Building       106 Nguyen Van Troi, Ward 8       Phu Nhuan District       Ho Chi Minh City       Vietnam
         Henkel Adhesive Technologies India Private Limited;   D73/2, D74/2, D74/6, TTC Industrial Area       Off Thane Belapur Road, Turbhe Naka       Maharashtra       Navi Mumbai               -                          400705       India
         Henkel Technologies (Korea) Ltd.;   1, 8,10, 13/F Henkel Tower       41, Mapo-daero4da-gil (Mapo-dong)       Mapo-gu       Seoul             (121-734)       Korea
         Henkel (China) Investment Co. Ltd.;   No. 928 Zhang Heng Road       Pu Dong       Shanghai             201203       China
         Henkel Japan Ltd.;   140-0002       Tokyo       Shinagawa-ku       2-2-8 HigashiShinagawa       14F Sphere Tower Tennoz       Japan
         __ ___;   __ __ 1, 8, 10, 13_       ____ 4__ 41 (___)       ___       _____             (121-734)       ____
         Henkel Japan Ltd.;   460-0002       Aichi       Naka-ku, Nagoya       2-18-15 Marunouchi       6F 51 KT Building       Japan
         Schwarzkopf & Henkel K.K.;   460-0002       Aichi       Naka-ku, Nagoya       2-18-15 Marunouchi       6F 51 KT Building       Japan
         Henkel New Zealand Ltd.;   2 Allens Road       East Tamaki       Auckland        New Zealand
         Henkel (Thailand) Ltd.;   999/9 The offices at Centralworld 35/F       Rama 1 Rd.       Khwaeng Patumwan, Khet Patumwan       Bangkok             10330       Thailand
         Henkel (China) Co. Ltd.;   Room 801, Sunpalace       No.12A Middle Taiyanggong Road       Chaoyang District       Beijing             100028       China
         Henkel Vietnam Co. Ltd.;   Lot G1       Viet Huong Industrial Park       Thuan An District       Binh Duong Province       Vietnam
         Henkel Technologies (Korea) Ltd.;   99, Sinsan-ro (Sinpyeong-dong)       Saha-gu       Busan             (604-030)       Korea
         Henkel Philippines, Inc.;   LSL Building, Diode Street       Light Industry & Science Park of the Philippines (LISPP) I       Brgy. Diezmo       4025             Cabuyao, Laguna,       Philippines
