id,content,time,retweets,favorites
620232095441526784,"Lieber Basti, alles Gute in Manchester! Werde Dich in der Kabine und auf dem Platz vermissen! @BSchweinsteiger pic.twitter.com/qsBzKJ9nVg",07:03 - 12. Jul. 2015,3.191,5.599
619833126748061696,"Back to work! @FCBayern @dante_bonfim  pic.twitter.com/dCQe7C1xAM",04:38 - 11. Jul. 2015,802,2.294
619831229681111040,"Autsch!!!  Gute Besserung!  https://twitter.com/tonymartin85/status/619804795801608192 …",04:30 - 11. Jul. 2015,193,868
619820151714783232,"Looking forward to see you again @David_Alaba and all the others from @FCBayern. And to see all the fans again  https://twitter.com/david_alaba/status/619807333443629057 …",03:46 - 11. Jul. 2015,401,1.175
619449491301756928,"....kindness!  https://twitter.com/selenagomez/status/619353279475023872 …",03:14 - 10. Jul. 2015,830,1.482
619172608261640192,"Last day of an amazing holiday!!  pic.twitter.com/Vrhf4RFedi",08:53 - 9. Jul. 2015,982,3.002
618713916869353476,"Keep on training...! #preparation  pic.twitter.com/WlGvrATwas",02:31 - 8. Jul. 2015,519,1.420
617821503028129792,"This is fun  @phunkeeduck Everybody #getphunkee  pic.twitter.com/aHx9aAwVTB",15:24 - 5. Jul. 2015,771,2.540
617792197501456384,"Scenic workout today with a view #runyon canyon park! Up and down in L.A. That was hard  pic.twitter.com/Uvgjlfjri2",13:28 - 5. Jul. 2015,549,1.810
617452686246563840,"HAPPY #4thOfJuly #malibu  pic.twitter.com/8oFOAHhzxu",14:59 - 4. Jul. 2015,891,2.414
617430513733603328,"Let's go to the beach!!! #4thOfJuly #malibu  pic.twitter.com/p87DODdZuT",13:31 - 4. Jul. 2015,720,2.335
617403661191254017,"Bald geht es dann mit der richtigen Kugel wieder los!  Freue mich! @FCBayern  https://twitter.com/fcbayern/status/617361784719151105 …",11:44 - 4. Jul. 2015,395,1.271
617359174150696960,"Good Morning #4thofJuly - Training, then relaxing at the beach. What are you up to?!?  pic.twitter.com/cFeYNPs1j1",08:47 - 4. Jul. 2015,585,1.904
617154679181455360,"I can improve  https://twitter.com/dodgers/status/617151576411516932 …",19:15 - 3. Jul. 2015,738,1.635
617154328067870720,"Thank you very much!!  https://twitter.com/dodgers/status/617146773182636033 …",19:13 - 3. Jul. 2015,410,1.283
617051951407067137,"Great training session this morning! #UCLA  pic.twitter.com/ofuJl4uCxc",12:27 - 3. Jul. 2015,715,2.084
616630477080793088,"Training is on...!  pic.twitter.com/z0nlCHmEpl",08:32 - 2. Jul. 2015,576,1.843
616467103739056129,"Delicious...! #arigato #fight  #katana pic.twitter.com/cb0myeVySg",21:43 - 1. Jul. 2015,460,1.588
616423463872368644,"Preparation for the season is on  #workhard #sweat #focus #training pic.twitter.com/I9QxPIQi8d",18:49 - 1. Jul. 2015,514,1.480
616360137939226624,"Soon on @Beats1 #Beats1Request @selenagomez @iamwill - which song will be my request?!?  pic.twitter.com/kFHV5b9L5c",14:38 - 1. Jul. 2015,1.588,2.627
616144976892727297,"surprise visit at the #UCLA this afternoon. Had a lot of fun surprising those many guys training at the summercamp  pic.twitter.com/VvraOWvtdw",00:23 - 1. Jul. 2015,756,1.958
616016868554379264,"Enjoying the US hospitality. Thanks! BUT talking about soccer: I'll keep my fingers crossed for Germany #USAGER @DFB_Frauen #FIFAWWC",15:54 - 30. Jun. 2015,574,1.565
615924867804737536,"Met @LeoDiCaprio but only @TussaudsLA #hollywood  pic.twitter.com/N28Mmm1Afs",09:48 - 30. Jun. 2015,960,2.644
615680760247373824,"PESCM World Tour hat begonnen! Mein Status: SilberWie sieht's bei euch aus? @officialpescm http://proevol.ly/pescmappstore  pic.twitter.com/3q4upOWbZY",17:38 - 29. Jun. 2015,228,786
614698576724262913,"Arrived in ??? What do you think?  #PartOfGoetze pic.twitter.com/ntuqjc5r2W",00:35 - 27. Jun. 2015,433,1.427
614696839640690688,"Bye Bye Hawaii, Maui...! Unbelievable island...!  pic.twitter.com/DE1A962rdF",00:28 - 27. Jun. 2015,377,1.405
614094704154685440,"https://youtu.be/SnN8ZJO527A My little clip for you! Basketball pro??Not me! Maybe @JB17Official?!? #dunking #PartOfGoetze Thanks to @Nike",08:36 - 25. Jun. 2015,346,980
613976082522480640,"Going for walk in Hawaii with my mum and my girl-friend. #relax #summer #holiday #PartOfGoetze #love #paradise  pic.twitter.com/Hl9V5fShFu",00:44 - 25. Jun. 2015,790,2.570
613803730115424256,"Servus Daaaaaavid! Happy Birthday! Enjoy your day „old“ man  @David_Alaba pic.twitter.com/lU93p4CBVC",13:19 - 24. Jun. 2015,930,2.456
613587098126389249,"Glückwunsch!!!  https://twitter.com/lbittencourt32/status/613460106139828225 …",22:58 - 23. Jun. 2015,321,1.090
613289879435407360,"Aloha  #PartOfGoetze pic.twitter.com/pQxIRn5gLp",03:17 - 23. Jun. 2015,755,2.621
613094098917031937,"#PartOfGoetze pic.twitter.com/HXTbGGX0ta",14:19 - 22. Jun. 2015,859,2.058
613093693202038784,"Just great @Blake_Leeper @NikeTraining - IMPRESSIVE   https://twitter.com/niketraining/status/610864780765626368 …",14:18 - 22. Jun. 2015,228,763
611633234246529024,"We are so tiny  @Nike @CJMcCollum pic.twitter.com/fLPxx2l4eU",13:35 - 18. Jun. 2015,1.106,2.924
611552422817697793,"Off to Hawaii  #excited #holiday #relax #PartOfGoetze",08:13 - 18. Jun. 2015,587,2.076
611218403089612804,"Visiting #nike #headquarters #portland @Nike  and guess who I met @JB17Official  pic.twitter.com/UgHS86tVyp",10:06 - 17. Jun. 2015,715,2.272
610954468331520002,"Stopover in #Vancouver  #holiday #relax #PartOfGoetze pic.twitter.com/p0nk2uGmS3",16:37 - 16. Jun. 2015,566,1.900
610525292042584064,"My bags are packed! HOLIDAY here I come!  #PartOfGoetze #Enjoy pic.twitter.com/8doIUKF2yi",12:12 - 15. Jun. 2015,571,2.139
610518721577250816,"Today's workout: Cycling for my leg! #KeepGoing #PartOfGoetze  pic.twitter.com/AyYXSuvNK5",11:46 - 15. Jun. 2015,586,2.034
610441640512253952,"Meine Charity Auktion zugunsten von @PlanGermany und @nestwaerme http://www.unitedcharity.de/SPECIALS/Mario-Goetze … pic.twitter.com/f32zY3VzLN",06:40 - 15. Jun. 2015,394,1.350
610032725123297280,"Mit einem Sieg in den Urlaub! Mir geht es gut! Zwischenstop in LeMans bei #Audi #welcomechallenges  Impressive!! pic.twitter.com/3WhB6kwrS3",03:35 - 14. Jun. 2015,962,2.755
609704714851237888,"Letztes Spiel der Saison! #GIBGER @DFB_Team vs. @GibraltarFA - #Euro2016Qualifiers - Wo schaut ihr das Spiel?  pic.twitter.com/ldxuNjipA3",05:51 - 13. Jun. 2015,594,1.668
609441099581661184,"Tomorrow #GIBGER - Last game of season 14/15! Let's get this victory @DFB_Team #Euro2016Qualifiers pic.twitter.com/pDT8hRhImp",12:24 - 12. Jun. 2015,563,1.713
